Classifier;Thumb;Index;Middle;Ring;Pinkie;Accuracy;Recall;Precision;F1Score
LR;79.04996002489679;87.96625258403719;89.4528548612296;88.66120092585487;88.0058548812347;87.32356978972659;85.88642792773092;87.64852936288858;86.62722465545063
DT;90.90030092146955;94.12734808574392;94.05992971786932;94.0894294477027;94.0813386716373;93.93419276205063;93.49385977121966;93.41514435320059;93.45166936888457
kNN;88.37772582801827;92.43286843634169;92.57003720796962;92.55880197426308;92.47966078734234;92.23768429802145;91.86023147457027;91.5243973902814;91.68381884678699
MLP;83.63430065902122;90.67118107321788;91.49502270830921;91.0197019082304;90.69499722711599;90.0120343740111;89.61692381874107;89.42909394547901;89.50304071517894
RF;91.53326287194106;94.55982725860181;94.51312783222951;94.52091679679853;94.64073092849864;94.40441748911476;93.93281411699006;93.97798669718043;93.9535731376139
XGB;91.3579793357574;94.39062039658748;94.45948912653955;94.42613738079922;94.60418312555129;94.30065335605434;93.8486807895645;93.84989628134473;93.84768187304698
